鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號,總樓層數_num
內湖區,房地(土地+建物)+車位,星雲街121~150號,19.55,都市：其他:第三種住宅區。,,,1100318,土地1建物1車位1,五層,十四,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0931222,153.28,2,2,2,有,有,40500000,264222,坡道平面,26.12,0,,RPXPMLMLMHGGFCA97DA,76.78,4.99,5.49,有,,14
松山區,房地(土地+建物),八德路四段421~450號,7.36,都市：其他:第三種商業區。,,,1100314,土地1建物1車位0,八層,十四,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0970205,74.72999999999999,2,2,1,有,有,16580000,221865,,0.0,0,夾層；其他增建；,RPPOMLLMLHGGFDA07DA,40.82,1.88,3.06,有,105.0,14
北投區,房地(土地+建物),中山路1~30號,13.45,都市：其他:特定觀光商業專用區。,,,1100317,土地1建物1車位0,十五層,二十五,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0920127,97.61,1,1,1,有,有,17380000,178056,,0.0,0,天然溫泉住宅湯屋陽台外推；,RPQNMLSKLHGGFEA67DA,50.77,0.0,18.81,有,,25
南港區,房地(土地+建物)+車位,園區街1~30號,15.31,都市：其他:住宅區(特)。,,,1100311,土地1建物1車位2,三層,十四,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0980611,114.87,2,2,1,有,有,23800000,207191,坡道機械,0.0,0,,RPROMLLLMHGGFDA27DA,47.33,3.51,5.21,有,,14
大安區,房地(土地+建物),敦化南路二段121~150號,9.5,都市：其他:敦化南北路特定專用區(B區)(依都市計畫說明書圖規定辦理)(原屬第參種住宅區及第參之貳種住宅區)。,,,1100202,土地1建物1車位0,七層,十六,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,117.92,2,2,2,有,有,32580000,276289,,0.0,0,陽台外推；其他增建；,RPOOMLMLLHGGFFA17DA,85.08,0.0,14.28,有,,16
大安區,房地(土地+建物)+車位,仁愛路四段408巷1~30號,56.62,都市：其他:第四種住宅區。,,,1100314,土地1建物1車位3,二層,十三,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1011113,482.74,3,2,4,有,有,132000000,273439,坡道平面,126.78,0,,RPVQMLKLMHGGFFA97DA,207.31,13.03,18.98,有,114.0,13
中山區,房地(土地+建物),農安街1~30號,4.03,都市：其他:第肆種商業區(依都市計畫說明書圖規定辦理，始得作第肆種商業區使用)(原屬第參種商業區)。,,,1100318,土地1建物1車位0,十二層,十四,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0980622,68.42,1,1,1,有,有,13200000,192926,,0.0,0,其他增建；含租約；,RPRRMLLLMHGGFCA57EA,32.32,2.16,3.74,有,,14
信義區,房地(土地+建物),基隆路二段151~180號,10.37,都市：其他:第參種商業區(依都市計畫說明書圖規定辦理，始得作第參種商業區使用)(原屬第貳種商業區)。,,,1100318,土地2建物1車位0,九層,十五,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0990901,130.79000000000002,2,2,2,有,有,33500000,256136,,0.0,0,,RPWOMLNLMHGGFDA08EA,68.14,4.58,8.76,有,,15
大安區,房地(土地+建物),新生南路三段1~30號,11.65,都市：其他:第參種商業區(依都市計畫說明書圖規定辦理，始得作第參種商業區使用)(原屬第參之壹種住宅區及第貳種商業區)及第三種住宅區。,,,1100304,土地1建物1車位0,六層,十四,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,131.54000000000002,4,2,2,有,有,30000000,228068,,0.0,0,,RPUOMLKLMHGGFFA77EA,101.47,0.0,7.96,有,,14
大安區,房地(土地+建物)+車位,建國南路一段31~60號,16.23,都市：其他:第三之二種住宅區。,,,1100319,土地2建物1車位1,十三層,十五,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0790515,137.25,3,2,2,有,有,8000000,58288,坡道平面,18.75,0,親友、員工、共有人或其他特殊關係間之交易；,RPRNMLMLMHGGFFA57EA,104.01,0.0,11.64,有,,15
